BusinessEntityID,Name,AnnualSales,AnnualRevenue,BankName,BusinessType,YearOpened,Specialty,SquareFeet,Brands,Internet,NumberEmployees
308,"Valley Bicycle Specialists",3000000,300000,"Primary Bank & Reserve","OS",1979,"Mountain",72000,"4+","DSL",66
330,"Major Sport Suppliers",3000000,300000,"Reserve Security","OS",1998,"Mountain",68000,"3","DSL",52
338,"Systematic Sales",3000000,300000,"Primary International","OS",1999,"Touring",73000,"4+","DSL",55
340,"eCommerce Bikes",3000000,300000,"Guardian Bank","OS",1999,"Mountain",69000,"2","DSL",58
348,"Bold Bike Accessories",3000000,300000,"Primary Bank & Reserve","OS",1999,"Mountain",72000,"4+","DSL",58
354,"Acclaimed Bicycle Company",3000000,300000,"International Bank","OS",1979,"Touring",73000,"3","DSL",61
358,"Quality Bike Sales",3000000,300000,"Reserve Security","OS",1991,"Touring",74000,"3","DSL",67
362,"Distinctive Cycles Sales & Service",3000000,300000,"Primary Bank & Reserve","OS",1995,"Mountain",75000,"3","DSL",79
374,"Immense Manufacturing Company",3000000,300000,"Guardian Bank","OS",1998,"Touring",76000,"4+","DSL",73
376,"Extended Bike Sales",3000000,300000,"International Security","OS",1990,"Mountain",73000,"4+","DSL",76
460,"Pro Sporting Goods",3000000,300000,"Primary International","OS",1972,"Mountain",79000,"4+","DSL",90
462,"Sporting Goods and Bicycle Shop",3000000,300000,"Guardian Bank","OS",1977,"Road",78000,"3","DSL",91
464,"Odometers and Accessories Company",3000000,300000,"International Security","OS",1987,"Touring",76000,"4+","DSL",92
472,"Safe Cycles Shop",3000000,300000,"International Security","OS",1998,"Mountain",72000,"4+","DSL",73
476,"Industrial Supplies",3000000,300000,"International Bank","OS",1995,"Touring",73000,"3","DSL",79
478,"Golf and Cycle Store",3000000,300000,"Guardian Bank","OS",1978,"Mountain",75000,"2","DSL",86
480,"Front Runner Bikes",3000000,300000,"International Security","OS",1983,"Touring",77000,"4+","DSL",87
482,"Favorite Toy Distributor",3000000,300000,"Primary Bank & Reserve","OS",1975,"Touring",77000,"4+","DSL",88
526,"Futuristic Bikes",3000000,300000,"United Security","OS",1995,"Mountain",77000,"2","DSL",79
540,"Metro Bike Works",3000000,300000,"International Bank","OS",1999,"Mountain",77000,"4+","DSL",100
562,"Custom Accessories Company",3000000,300000,"Guardian Bank","OS",1998,"Road",79000,"4+","DSL",98
564,"Unusual Bicycle Company",3000000,300000,"International Security","OS",1999,"Touring",78000,"4+","DSL",99
580,"Farthest Bike Store",3000000,300000,"United Security","OS",1987,"Touring",74000,"4+","DSL",80
582,"Excellent Bikes",3000000,300000,"Reserve Security","OS",1992,"Touring",75000,"2","DSL",81
584,"Curbside Universe",3000000,300000,"Primary International","OS",1984,"Road",73000,"4+","DSL",82
594,"Racing Store",3000000,300000,"Guardian Bank","OS",1987,"Road",78000,"4+","DSL",92
596,"Metro Metals Co.",3000000,300000,"International Security","OS",1974,"Touring",77000,"4+","DSL",93
618,"Petroleum Products Distributors",3000000,300000,"International Bank","OS",1978,"Touring",78000,"4+","DSL",86
624,"Budget Toy Store",3000000,300000,"International Bank","OS",1998,"Mountain",71000,"4+","DSL",52
626,"Camping and Sports Store",3000000,300000,"Reserve Security","OS",1987,"Touring",77000,"4+","DSL",80
652,"Westside Plaza",3000000,300000,"United Security","OS",1989,"Touring",74000,"3","DSL",83
654,"Ultimate Bike Shop",3000000,300000,"Reserve Security","OS",1981,"Mountain",78000,"4+","DSL",84
658,"Vigorous Sports Store",3000000,300000,"Guardian Bank","OS",1984,"Road",73000,"4+","DSL",82
660,"Sports Merchandise",3000000,300000,"International Security","OS",1989,"Touring",73000,"4+","DSL",83
662,"Fitness Toy Store",3000000,300000,"Primary Bank & Reserve","OS",1981,"Road",75000,"3","DSL",84
692,"Grand Discount Store",3000000,300000,"International Bank","OS",1974,"Mountain",75000,"4+","DSL",94
694,"Genuine Bike Shop",3000000,300000,"United Security","OS",1980,"Road",76000,"4+","DSL",95
758,"Nearby Bike Mall",3000000,300000,"United Security","OS",1983,"Road",74000,"2","DSL",87
762,"Friendly Bike Shop",3000000,300000,"Primary International","OS",1980,"Road",75000,"2","DSL",89
766,"Extreme Toy Store",3000000,300000,"International Security","OS",1977,"Mountain",75000,"2","DSL",91
768,"Citywide Service and Repair",3000000,300000,"Primary Bank & Reserve","OS",1987,"Road",79000,"3","DSL",92
772,"Professional Sporting Goods",3000000,300000,"United Security","OS",1974,"Touring",78000,"2","DSL",94
774,"Rugged Bikes",3000000,300000,"Reserve Security","OS",1980,"Touring",77000,"2","DSL",95
776,"Principal Bike Company",3000000,300000,"Primary International","OS",1986,"Road",79000,"3","DSL",96
780,"Finer Riding Supplies",3000000,300000,"International Security","OS",1998,"Road",78000,"4+","DSL",98
782,"Neighborhood Store",3000000,300000,"Primary International","OS",1983,"Road",77000,"2","DSL",87
792,"Rally Day Mall",3000000,300000,"United Security","OS",1987,"Road",75000,"3","DSL",92
796,"Rich Department Store",3000000,300000,"Primary International","OS",1974,"Touring",76000,"2","DSL",94
800,"Stationary Bikes and Stands",3000000,300000,"International Security","OS",1986,"Road",76000,"4+","DSL",96
804,"Downtown Hotel",3000000,300000,"International Bank","OS",1986,"Mountain",74000,"4+","DSL",85
806,"Certified Sports Supply",3000000,300000,"United Security","OS",1978,"Mountain",78000,"4+","DSL",86
822,"Racing Bike Outlet",3000000,300000,"United Security","OS",1998,"Road",72000,"2","DSL",52
824,"Utilitarian Sporting Goods",3000000,300000,"Reserve Security","OS",1999,"Touring",72000,"3","DSL",55
834,"Functional Store South",3000000,300000,"International Bank","OS",1993,"Mountain",71000,"2","DSL",70
836,"Active Cycling",3000000,300000,"United Security","OS",1998,"Road",73000,"4+","DSL",73
838,"Stock Parts and Supplies",3000000,300000,"Reserve Security","OS",1990,"Touring",76000,"2","DSL",76
840,"Roadway Supplies",3000000,300000,"Primary International","OS",1995,"Road",73000,"4+","DSL",79
844,"Future Bikes",3000000,300000,"Guardian Bank","OS",1992,"Road",74000,"3","DSL",81
846,"Super Sports Store",3000000,300000,"Primary Bank & Reserve","OS",1999,"Road",78000,"2","DSL",100
860,"Sleek Bikes",3000000,300000,"Guardian Bank","OS",1999,"Touring",70000,"3","DSL",55
864,"Price-Cutter Discount Bikes",3000000,300000,"Primary Bank & Reserve","OS",1979,"Road",70000,"4+","DSL",61
868,"Central Bicycle Specialists",3000000,300000,"United Security","OS",1991,"Touring",71000,"2","DSL",67
874,"Real Sporting Goods",3000000,300000,"Guardian Bank","OS",1990,"Mountain",72000,"3","DSL",76
876,"Versatile Sporting Goods Company",3000000,300000,"Primary Bank & Reserve","OS",1996,"Road",74000,"2","DSL",64
878,"Bicycle Outfitters",3000000,300000,"International Bank","OS",1991,"Road",72000,"3","DSL",67
884,"Qualified Sales and Repair Services",3000000,300000,"Primary International","OS",1990,"Road",75000,"4+","DSL",76
886,"Our Sporting Goods Store",3000000,300000,"Guardian Bank","OS",1995,"Road",76000,"4+","DSL",79
954,"Futuristic Sport Distributors",3000000,300000,"Primary Bank & Reserve","OS",1974,"Road",78000,"3","DSL",94
958,"Big-Time Bike Store",3000000,300000,"United Security","OS",1986,"Road",80000,"4+","DSL",96
960,"The Showroom",3000000,300000,"Reserve Security","OS",1992,"Road",79000,"4+","DSL",97
964,"Year-Round Sports",3000000,300000,"United Security","OS",1979,"Mountain",75000,"4+","DSL",66
974,"Leather and Vinyl Manufacturing",3000000,300000,"Guardian Bank","OS",1998,"Road",68000,"2","DSL",52
978,"Commercial Sporting Goods",3000000,300000,"Reserve Security","OS",1979,"Mountain",74000,"3","DSL",61
980,"Wholesale Parts",3000000,300000,"Primary International","OS",1996,"Road",70000,"4+","DSL",64
1122,"Tubeless Tire Company",3000000,300000,"International Bank","OS",1980,"Touring",75000,"4+","DSL",89
1128,"Retail Sporting Goods",3000000,300000,"Primary International","OS",1987,"Road",78000,"4+","DSL",92
1130,"Efficient Cycling",3000000,300000,"Guardian Bank","OS",1974,"Touring",77000,"3","DSL",93
1292,"Family Entertainment Center",3000000,300000,"Guardian Bank","OS",1980,"Touring",75000,"4+","DSL",89
1294,"Go-cart and Bike Specialists",3000000,300000,"International Security","OS",1972,"Mountain",78000,"4+","DSL",90
1298,"Racing Partners",3000000,300000,"International Bank","OS",1987,"Mountain",79000,"4+","DSL",92
1302,"Exhibition Showroom",3000000,300000,"Reserve Security","OS",1974,"Mountain",77000,"2","DSL",94
1312,"National Manufacturing",3000000,300000,"United Security","OS",1999,"Road",80000,"3","DSL",99
1314,"Volume Bike Sellers",3000000,300000,"Reserve Security","OS",1999,"Mountain",78000,"4+","DSL",100
1326,"Nearby Sporting Goods",3000000,300000,"Primary Bank & Reserve","OS",1998,"Road",71000,"4+","DSL",52
1328,"Front Sporting Goods",3000000,300000,"International Bank","OS",1999,"Mountain",70000,"2","DSL",55
1330,"Elite Bikes",3000000,300000,"United Security","OS",1999,"Road",69000,"2","DSL",58
1336,"Eastside Department Store",3000000,300000,"Primary International","OS",1979,"Road",70000,"3","DSL",61
1340,"Cycle Merchants",3000000,300000,"International Security","OS",1991,"Road",75000,"3","DSL",67
1342,"Global Sports Outlet",3000000,300000,"Primary Bank & Reserve","OS",1993,"Mountain",75000,"4+","DSL",70
1354,"Ideal Components",3000000,300000,"International Security","OS",1984,"Touring",76000,"3","DSL",82
1362,"Metro Bike Mart",3000000,300000,"Reserve Security","OS",1978,"Mountain",76000,"3","DSL",86
1410,"Exclusive Bicycle Mart",3000000,300000,"United Security","OS",1999,"Road",77000,"4+","DSL",100
1412,"City Manufacturing",3000000,300000,"Reserve Security","OS",1979,"Mountain",75000,"4+","DSL",66
1422,"Fashionable Department Stores",3000000,300000,"International Security","OS",1998,"Mountain",68000,"3","DSL",52
1434,"Endurance Bikes",3000000,300000,"Guardian Bank","OS",1993,"Road",75000,"3","DSL",70
1832,"Downhill Bicycle Specialists",3000000,300000,"International Bank","OS",1992,"Mountain",77000,"2","DSL",81
1834,"Bike Experts",3000000,300000,"United Security","OS",1984,"Mountain",73000,"4+","DSL",82
1838,"Valley Bicycle Distributors",3000000,300000,"Primary International","OS",1981,"Road",76000,"4+","DSL",84
1840,"Top Sports Supply",3000000,300000,"Guardian Bank","OS",1986,"Mountain",78000,"3","DSL",85
1842,"Racing Sales and Service",3000000,300000,"International Security","OS",1978,"Road",77000,"3","DSL",86
1844,"Metropolitan Bicycle Supply",3000000,300000,"Primary Bank & Reserve","OS",1983,"Mountain",78000,"4+","DSL",87
1846,"Honest Repair Service",3000000,300000,"International Bank","OS",1975,"Touring",77000,"3","DSL",88
1850,"Wheel Gallery",3000000,300000,"Reserve Security","OS",1972,"Road",79000,"2","DSL",90
1854,"Region Bike Company",3000000,300000,"United Security","OS",1992,"Road",75000,"2","DSL",81
1856,"Grown-up Bike Store",3000000,300000,"Reserve Security","OS",1984,"Mountain",75000,"3","DSL",82
1858,"Bicycle Lines Distributors",3000000,300000,"Primary International","OS",1989,"Mountain",77000,"3","DSL",83
1860,"Sparkling Paint and Finishes",3000000,300000,"Guardian Bank","OS",1981,"Mountain",76000,"2","DSL",84
1864,"Plastic Parts Company",3000000,300000,"Primary Bank & Reserve","OS",1978,"Mountain",76000,"4+","DSL",86
1868,"Executive Gift Store",3000000,300000,"United Security","OS",1975,"Mountain",76000,"3","DSL",88
1870,"Big Cycle Mall",3000000,300000,"Reserve Security","OS",1980,"Touring",77000,"4+","DSL",89
1960,"Sports Store",3000000,300000,"Primary Bank & Reserve","OS",1980,"Mountain",76000,"3","DSL",95
1962,"Metropolitan Equipment",3000000,300000,"International Bank","OS",1986,"Road",78000,"2","DSL",96
1968,"Solid Bike Parts",3000000,300000,"Primary International","OS",1999,"Road",77000,"4+","DSL",99
1970,"Permanent Finish Products",3000000,300000,"Guardian Bank","OS",1999,"Mountain",79000,"4+","DSL",100
366,"Activity Center",1500000,150000,"Primary Bank & Reserve","BS",1971,"Road",37000,"3","DSL",37
378,"Pedaling Components",1500000,150000,"United Security","BS",1988,"Touring",36000,"4+","DSL",35
414,"Lubricant and Grease Suppliers",1500000,150000,"United Security","BS",1996,"Mountain",37000,"4+","DSL",30
448,"Traction Tire Company",1500000,150000,"International Bank","BS",1990,"Mountain",39000,"2","DSL",31
450,"Unsurpassed Bikes",1500000,150000,"Primary Bank & Reserve","BS",1984,"Touring",39000,"3","DSL",32
452,"Field Trip Inc",1500000,150000,"International Security","BS",1978,"Road",35000,"4+","DSL",33
454,"Tire Company",1500000,150000,"International Bank","BS",1983,"Road",37000,"2","DSL",45
456,"Uncompromising Quality Co",1500000,150000,"Primary Bank & Reserve","BS",1991,"Touring",39000,"4+","DSL",46
484,"World Bike Discount Store",1500000,150000,"Guardian Bank","BS",1979,"Road",39000,"4+","DSL",38
486,"Global Sporting Goods",1500000,150000,"Primary International","BS",1974,"Road",36000,"3","DSL",39
498,"Moderately-Priced Bikes Store",1500000,150000,"International Security","BS",1974,"Mountain",39000,"2","DSL",39
500,"Toy Manufacturing Inc",1500000,150000,"Guardian Bank","BS",1977,"Road",40000,"4+","DSL",41
504,"Economy Bikes Company",1500000,150000,"Reserve Security","BS",1980,"Mountain",41000,"4+","DSL",43
512,"Metal Processing Company",1500000,150000,"International Security","BS",1986,"Road",39000,"4+","DSL",47
514,"Widget Bicycle Specialists",1500000,150000,"Guardian Bank","BS",1994,"Road",38000,"3","DSL",48
528,"Parcel Express Delivery Service",1500000,150000,"United Security","BS",1979,"Road",36000,"4+","DSL",38
530,"Outdoor Distributors",1500000,150000,"International Bank","BS",1974,"Mountain",36000,"3","DSL",39
552,"Requisite Part Supply",1500000,150000,"Guardian Bank","BS",1988,"Road",39000,"3","DSL",35
554,"Racks and Security Systems",1500000,150000,"Primary International","BS",1976,"Touring",39000,"3","DSL",36
556,"Mechanical Products Ltd.",1500000,150000,"Reserve Security","BS",1971,"Road",38000,"4+","DSL",37
558,"Commendable Bikes",1500000,150000,"Guardian Bank","BS",1974,"Road",37000,"4+","DSL",39
560,"Online Bike Sellers",1500000,150000,"Primary International","BS",1982,"Mountain",39000,"2","DSL",40
588,"Channel Outlet",1500000,150000,"International Security","BS",1991,"Touring",40000,"4+","DSL",46
590,"Full Sports Supply",1500000,150000,"Guardian Bank","BS",1986,"Mountain",38000,"4+","DSL",47
604,"Mechanical Sports Center",1500000,150000,"International Security","BS",1995,"Road",40000,"3","DSL",40
606,"Speedometer Sales",1500000,150000,"Guardian Bank","BS",1995,"Road",39000,"3","DSL",37
608,"Two-Wheeled Transit Company",1500000,150000,"Primary International","BS",1983,"Mountain",38000,"4+","DSL",34
634,"Riverside Company",1500000,150000,"Primary Bank & Reserve","BS",1978,"Road",38000,"4+","DSL",33
678,"Nuts and Bolts Mfg.",1500000,150000,"Primary International","BS",1988,"Mountain",37000,"4+","DSL",35
680,"Principal Bicycle Supply",1500000,150000,"Reserve Security","BS",1976,"Road",39000,"4+","DSL",36
684,"This Area Sporting Goods",1500000,150000,"International Bank","BS",1979,"Mountain",39000,"2","DSL",38
686,"Full-Service Bike Store",1500000,150000,"Primary Bank & Reserve","BS",1974,"Mountain",38000,"3","DSL",39
688,"Plastic Products Manufacturers",1500000,150000,"International Security","BS",1982,"Touring",37000,"3","DSL",40
700,"Fleet Bikes",1500000,150000,"Primary International","BS",1989,"Mountain",40000,"3","DSL",49
702,"Local Hardware Factory",1500000,150000,"Reserve Security","BS",1997,"Road",41000,"3","DSL",46
708,"South Bike Company",1500000,150000,"Primary Bank & Reserve","BS",1995,"Touring",40000,"4+","DSL",37
736,"Primary Cycle Shop",1500000,150000,"Reserve Security","BS",1977,"Road",37000,"4+","DSL",41
740,"Touring Services",1500000,150000,"International Bank","BS",1980,"Road",38000,"4+","DSL",43
742,"Vehicle Shop",1500000,150000,"Primary Bank & Reserve","BS",1988,"Road",38000,"2","DSL",44
744,"First Department Stores",1500000,150000,"International Security","BS",1983,"Mountain",38000,"3","DSL",45
748,"Major Equipment Co",1500000,150000,"Primary International","BS",1986,"Touring",37000,"2","DSL",47
750,"Custom Sales and Service",1500000,150000,"Reserve Security","BS",1994,"Road",39000,"4+","DSL",48
756,"Grand Cycle Store",1500000,150000,"Primary Bank & Reserve","BS",1992,"Road",41000,"2","DSL",43
894,"Jumbo Bikes",1500000,150000,"United Security","BS",1977,"Touring",39000,"2","DSL",41
898,"Tough and Reliable Parts",1500000,150000,"Primary Bank & Reserve","BS",1980,"Road",40000,"3","DSL",43
900,"Basic Sports Equipment",1500000,150000,"International Security","BS",1988,"Mountain",38000,"3","DSL",44
902,"Cash & Carry Bikes",1500000,150000,"Guardian Bank","BS",1983,"Mountain",39000,"2","DSL",45
908,"General Bike Corporation",1500000,150000,"United Security","BS",1994,"Road",38000,"4+","DSL",48
916,"Blue Bicycle Company",1500000,150000,"Guardian Bank","BS",1995,"Road",36000,"4+","DSL",40
918,"Expert Cycle Store",1500000,150000,"Primary International","BS",1995,"Touring",38000,"4+","DSL",37
920,"General Riding Supplies",1500000,150000,"Reserve Security","BS",1983,"Mountain",36000,"3","DSL",34
946,"Racing Supply Distributors",1500000,150000,"Primary International","BS",1977,"Touring",38000,"3","DSL",41
948,"Standard Bikes",1500000,150000,"Reserve Security","BS",1985,"Mountain",38000,"4+","DSL",42
986,"Metro Manufacturing",1500000,150000,"International Security","BS",1977,"Mountain",36000,"4+","DSL",41
988,"Manufacturers Inc",1500000,150000,"Guardian Bank","BS",1985,"Road",39000,"3","DSL",42
990,"Locks Company",1500000,150000,"Primary International","BS",1980,"Touring",40000,"4+","DSL",43
994,"Incomparable Bicycle Store",1500000,150000,"United Security","BS",1983,"Touring",41000,"2","DSL",45
1000,"Games and Sport Supply Company",1500000,150000,"International Security","BS",1994,"Touring",42000,"4+","DSL",48
1002,"Distant Inn",1500000,150000,"Guardian Bank","BS",1989,"Road",38000,"4+","DSL",49
1004,"Finer Mart",1500000,150000,"Primary International","BS",1997,"Touring",38000,"3","DSL",46
1008,"Precision Gears Inc.",1500000,150000,"United Security","BS",1995,"Road",38000,"3","DSL",40
1118,"Synthetic Materials Manufacturing",1500000,150000,"Primary International","BS",1995,"Road",39000,"2","DSL",40
1120,"Rural Sales and Service",1500000,150000,"Guardian Bank","BS",1992,"Road",37000,"3","DSL",43
1134,"Highway Bike Shop",1500000,150000,"Reserve Security","BS",1989,"Road",40000,"2","DSL",49
1140,"Express Bike Services",1500000,150000,"Primary Bank & Reserve","BS",1995,"Mountain",38000,"4+","DSL",40
1142,"Major Amusement Company",1500000,150000,"International Security","BS",1995,"Mountain",36000,"4+","DSL",37
1162,"Bikes for Kids and Adults",1500000,150000,"Primary Bank & Reserve","BS",1996,"Mountain",36000,"4+","DSL",30
1164,"Consolidated Sales",1500000,150000,"International Security","BS",1990,"Mountain",38000,"3","DSL",31
1364,"Tandem Sales and Service",1500000,150000,"International Bank","BS",1972,"Road",38000,"4+","DSL",34
1366,"Sensible Sports",1500000,150000,"United Security","BS",1978,"Touring",37000,"2","DSL",33
1368,"Reliable Retail Center",1500000,150000,"Reserve Security","BS",1984,"Road",35000,"4+","DSL",32
1400,"Finished Parts Shop",1500000,150000,"Reserve Security","BS",1995,"Mountain",36000,"3","DSL",40
1454,"Recommended Bicycles",1500000,150000,"International Security","BS",1996,"Road",35000,"4+","DSL",30
1456,"Sunny Place Bikes",1500000,150000,"Guardian Bank","BS",1990,"Road",39000,"4+","DSL",31
1458,"Alpine Ski House",1500000,150000,"Primary International","BS",1984,"Road",37000,"2","DSL",32
1464,"List Price Catalog Company",1500000,150000,"International Bank","BS",1988,"Touring",37000,"3","DSL",35
1466,"Seats and Saddles Company",1500000,150000,"Primary Bank & Reserve","BS",1976,"Mountain",38000,"4+","DSL",36
1476,"Low Price Cycles",1500000,150000,"International Bank","BS",1996,"Mountain",36000,"4+","DSL",30
1478,"Metropolitan Manufacturing",1500000,150000,"Primary Bank & Reserve","BS",1990,"Road",39000,"4+","DSL",31
1482,"Riding Associates",1500000,150000,"Guardian Bank","BS",1978,"Mountain",36000,"4+","DSL",33
1484,"Essential Bike Works",1500000,150000,"Primary International","BS",1972,"Road",39000,"4+","DSL",34
1796,"Professional Containers and Packaging Co.",1500000,150000,"International Security","BS",1997,"Mountain",38000,"4+","DSL",46
1798,"One Bike Company",1500000,150000,"Primary Bank & Reserve","BS",1989,"Mountain",41000,"3","DSL",49
1802,"Cycling Goods",1500000,150000,"United Security","BS",1986,"Road",37000,"4+","DSL",47
1806,"Black Bicycle Company",1500000,150000,"Primary International","BS",1983,"Mountain",40000,"4+","DSL",45
1810,"Sellers of Cycles",1500000,150000,"International Security","BS",1980,"Road",37000,"4+","DSL",43
1812,"Maintenance and Repair for Bicycles",1500000,150000,"Primary Bank & Reserve","BS",1985,"Touring",41000,"4+","DSL",42
1816,"Famous Bike Shop",1500000,150000,"United Security","BS",1982,"Mountain",37000,"4+","DSL",40
1818,"Eastward Bike Accessories",1500000,150000,"Reserve Security","BS",1974,"Touring",39000,"3","DSL",39
1820,"Strong Metal Manufacturing",1500000,150000,"Primary International","BS",1979,"Road",36000,"4+","DSL",38
1822,"Gift and Toy Store",1500000,150000,"Guardian Bank","BS",1971,"Road",36000,"4+","DSL",37
1824,"Major Sporting Goods",1500000,150000,"International Security","BS",1976,"Road",40000,"4+","DSL",36
312,"Vinyl and Plastic Goods Corporation",1500000,150000,"Primary Bank & Reserve","OS",1980,"Mountain",41000,"4+","DSL",43
314,"Top of the Line Bikes",1500000,150000,"International Bank","OS",1986,"Touring",40000,"4+","DSL",46
420,"Capital Riding Supplies",1500000,150000,"Primary Bank & Reserve","OS",1986,"Mountain",39000,"2","DSL",46
620,"Tandem Bicycle Store",1500000,150000,"International Security","OS",1986,"Mountain",37000,"4+","DSL",46
622,"Bikes and Motorbikes",1500000,150000,"Primary Bank & Reserve","OS",1992,"Road",40000,"2","DSL",49
642,"Advanced Bike Components",1500000,150000,"Primary International","OS",1974,"Road",38000,"3","DSL",40
644,"Aerobic Exercise Company",1500000,150000,"Guardian Bank","OS",1980,"Road",40000,"3","DSL",43
850,"Regional Manufacturing",1500000,150000,"Primary Bank & Reserve","OS",1974,"Mountain",38000,"4+","DSL",40
856,"Action Bicycle Specialists",1500000,150000,"Reserve Security","OS",1992,"Touring",40000,"2","DSL",49
966,"The New Bike Store",1500000,150000,"International Bank","OS",1974,"Road",37000,"4+","DSL",40
968,"Resident Cycle Shop",1500000,150000,"United Security","OS",1980,"Mountain",38000,"4+","DSL",43
1318,"Town Industries",1500000,150000,"Reserve Security","OS",1974,"Touring",38000,"2","DSL",40
1320,"Security Racks and Locks Wholesalers",1500000,150000,"Primary International","OS",1980,"Mountain",41000,"4+","DSL",43
1974,"Links Works",1500000,150000,"Guardian Bank","OS",1974,"Mountain",39000,"2","DSL",40
466,"Scratch-Resistant Finishes Company",800000,80000,"Guardian Bank","BS",1984,"Mountain",21000,"4+","DSL",16
542,"Best o' Bikes",800000,80000,"Primary International","BS",1972,"Touring",19000,"3","DSL",10
1022,"Sharp Bikes",800000,80000,"United Security","BS",1990,"Mountain",19000,"AW","DSL",19
1156,"Leisure Activities",800000,80000,"International Security","BS",1984,"Mountain",22000,"4+","DSL",16
1382,"Shipping Specialists",800000,80000,"International Bank","BS",1978,"Road",20000,"2","DSL",13
1386,"Authentic Sales and Service",800000,80000,"Reserve Security","BS",1990,"Mountain",20000,"AW","DSL",19
1440,"Variety Cycling",800000,80000,"Primary International","BS",1990,"Touring",21000,"AW","DSL",19
1442,"Accessories Network",800000,80000,"Reserve Security","BS",1984,"Touring",22000,"2","DSL",16
